Name,Degree,DP Score,NPV Value,Location,City,Consult Fee,Years of Experience,Speciality
Dr. Manish Agarwal,"MBBS, MS - General Surgery",93% ,(61 votes),Saket, Delhi,₹900,26,"General Surgeon, Laparoscopic Surgeon"
Dr. Pallavi Joshi,BHMS,100% ,(91 votes),Saket, Delhi,₹500,16,AYUSHHomoeopath
Dr. Shikha Gurnani,"MBBS, DNB - Obstetrics & Gynecology",98% ,(1312 votes),Dwarka, Delhi,₹800,20,"Gynecologist, Obstetrician"
Dr. Sanneya Manchanda,"BDS, MDS - Conservative Dentistry & Endodontics",100% ,(122 votes),Jangpura, Delhi,₹400,10,"Dentist, Endodontist, Conservative Dentist, Restorative Dentist"
Dr. Pearl Bhardwaj,"BDS, MDS - Periodontics",,,Model Town 2, Delhi,₹400,10,"Dentist, Implantologist, Periodontist"
Dr. Meena Harisinghani,"MBBS, MS - Obstetrics & Gynaecology",,,Krishna Nagar, Delhi,₹500,43,"Gynecologist, Obstetrician, Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn)"
Dr. Sandip Banerjee,"MBBS, DNB - General Surgery",,,Kalkaji, Delhi,₹1050,20,"Laparoscopic Surgeon, Proctologist, General Surgeon"
Dr. Pradeep Bansal,"MBBS, MD - Skin & VD",97% ,(829 votes),Shalimar Bagh, Delhi,₹900,20,Dermatologist
Dr. Sandeep Jain,"MBBS, DNB - General Surgery",92% ,(12 votes),Patparganj, Delhi,₹800,21,"General Surgeon, Laparoscopic Surgeon, Bariatric Surgeon"
Dr. Dinesh Bhoye,"MBBS, MS - General Surgery, Masters in Clinical Dermatology",,,Safdarjung Enclave, Delhi,₹1000,12,Hair Transplant Surgeon
Dr. Saurabh Bansal,"MBBS, DNB - General Surgery",100% ,(34 votes),Green Park, Delhi,₹1000,17,"Laparoscopic Surgeon, Bariatric Surgeon, General Surgeon"
Dr. Juhee Jain,"MBBS, MD - Obstetrics & Gynaecology",93% ,(168 votes),Mehrauli, Delhi,₹800,38,"Gynecologist, Obstetrician, Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn)"
Dr. Mahesh Verma,"MD - Dermatology , Venereology & Leprosy",56% ,(16 votes),Rohini Sector 15, Delhi,₹700,10,"Dermatologist, Hair Transplant Surgeon"
