,Name,DP Score,NPV Value,Location,City,Consult Fee,Years of Experience,Speciality,Degree_no,Degree_1,Degree_2
0,Dr. Sanneya Manchanda,100.0,122.0,Jangpura, Delhi,400.0,10.0,Dentist,2,BDS,MDS
1,Dr. Pearl Bhardwaj,94.0,190.0,Model Town 2, Delhi,400.0,10.0,Dentist,2,BDS,MDS
2,Dr. Jyoti Ahlawat,99.0,136.0,Vasundhra Enclave, Delhi,500.0,15.0,Dentist,2,BDS,MDS
3,Dr. Vinod Khanna,98.0,207.0,Ramesh Nagar, Delhi,500.0,14.0,Dentist,2,BDS,MDS
4,Dr. Sumit Datta,94.0,190.0,Panchsheel Park, Delhi,1200.0,26.0,Dentist,2,BDS,MDS
5,Dr. Lt.Col. Preeti Tahlan Arora,100.0,74.0,Malviya Nagar, Delhi,500.0,22.0,Dentist,1,BDS,No_more_degree
6,Dr. Kapil Garella,100.0,340.0,Paschim Vihar, Delhi,400.0,27.0,Dentist,1,BDS,No_more_degree
7,Dr. Poonam Yadav,100.0,378.0,Dwarka, Delhi,400.0,10.0,Dentist,1,BDS,No_more_degree
8,Dr. Sreenita Chowdhury,99.0,166.0,Greater Kailash Part 2, Delhi,700.0,15.0,Dentist,2,BDS,MDS
9,Dr. Jyoti C.Bhasin,99.0,141.0,Vasundhra Enclave, Delhi,950.0,24.0,Dentist,1,BDS,No_more_degree
10,Dr. Shivesh Mishra,98.0,45.0,Preet Vihar, Delhi,400.0,11.0,Dentist,2,BDS,MDS
11,Dr. Sanjit Singh,100.0,91.0,Panchsheel Park, Delhi,1200.0,18.0,Dentist,1,BDS,No_more_degree
12,Dr. Sunil Datta,100.0,205.0,New Rajendra Nagar, Delhi,1500.0,31.0,Dentist,2,BDS,MDS
13,Dr. Aseem Gulati,98.0,370.0,Greater Kailash Part 2, Delhi,1000.0,23.0,Dentist,2,MDS,BDS
14,Dr. Nikhil Goyal,98.0,40.0,Rohini Sector 8, Delhi,200.0,12.0,Dentist,2,BDS,MDS
15,Dr. Rudra,100.0,15.0,Vasundhra Enclave, Delhi,500.0,10.0,Dentist,1,BDS,No_more_degree
16,Dr. Prachi Kohli,100.0,59.0,Kamla Nagar, Delhi,300.0,14.0,Dentist,2,MDS,BDS
17,Dr. Karuna Bector  Arora,100.0,74.0,Vasant Vihar, Delhi,500.0,12.0,Dentist,2,MDS,BDS
18,Dr. Jaiveer  Yadav,94.0,190.0,Dwarka Sector 11, Delhi,400.0,11.0,Dentist,2,MDS,BDS
19,Dr. Ashish Bansal,100.0,53.0,Pitampura, Delhi,400.0,12.0,Dentist,2,BDS,MDS
20,Dr. Ajay Thakur,91.0,33.0,Chattarpur, Delhi,500.0,15.0,Dentist,1,BDS,No_more_degree
21,Dr. Sheetal Kochhar,94.0,190.0,Panchsheel Park, Delhi,1000.0,26.0,Dentist,2,BDS,MDS
22,Dr. Pooja Sachdeva,94.0,190.0,Kirti Nagar, Delhi,500.0,26.0,Dentist,1,BDS,No_more_degree
23,Dr. Rasleen Ahuja,99.0,94.0,Mayur Vihar Ph-I, Delhi,300.0,7.0,Dentist,1,MDS,No_more_degree
24,Dr. Kavita Sirohi,100.0,67.0,Safdarjung Enclave, Delhi,700.0,16.0,Dentist,2,BDS,MDS
25,Dr. Manav Kalra,95.0,487.0,Defence Colony, Delhi,1000.0,15.0,Dentist,3,MDS,Certificate
26,Dr. Meeka Gulati,97.0,156.0,Janakpuri, Delhi,500.0,16.0,Dentist,2,BDS,MDS
27,Dr. Anil Sharma,98.0,88.0,Munirka, Delhi,500.0,28.0,Dentist,2,BDS,MDS
28,Dr. Neelam Chawla,100.0,69.0,Saket, Delhi,300.0,22.0,Dentist,2,BDS,MDS
29,Dr. Prerna Taneja Mathur,95.0,109.0,Jagriti Enclave, Delhi,500.0,23.0,Dentist,3,BDS,MDS
30,Dr. Shilpa Kalra,100.0,41.0,Dwarka, Delhi,400.0,14.0,Dentist,2,BDS,MDS
